일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
52,(SWEET MOMENT)블루밍 플라워,4.65,693000,금 Au999 / 금 Au 585 ,메달 17mm ,"메달, 케이스, 보증서","소재:금 Au999 / 금 Au 585 크기:메달 17mm 무게:메달 3.75g / 주물품 0.9g 이상 구성:목걸이 메달(줄 제외), 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
53,(SWEET MOMENT)스위트 하트,4.65,693000,금 Au999 / 금 Au 585 ,메달 17mm ,"메달, 케이스, 보증서","소재:금 Au999 / 금 Au 585 크기:메달 17mm 무게:메달 3.75g / 주물품 0.9g 이상 구성:목걸이 메달(줄 제외), 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
54,(SWEET MOMENT)라이징 스타,4.65,693000,금 Au999 / 금 Au 585 ,메달 17mm ,"메달, 케이스, 보증서","소재:금 Au999 / 금 Au 585 크기:메달 17mm 무게:메달 3.75g / 주물품 0.9g 이상 구성:목걸이 메달(줄 제외), 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
55,2024 갑진년 입체형 황금 용Ⅱ메달 ,22.67,3300000,Au 999,"금메달 직경 30mm, 황금 용 11 x 18mm 정도, 담수진주 3mm 이상","메달, 케이스 보증서","소재:순금 Au999 크기:금메달 직경 30mm, 황금 용 11 x 18mm 정도, 담수진주 3mm 이상무게:22.67g(이상)구성: 메달, 보증서,  케이스 보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
56,네잎클로버 펜던트 메달,4.89,770000,금 Au999 / 금 Au 585 / 랩 그로운 다이아몬드,메달 17mm / 주물품 8.5x11mm / 랩 그로운 다이아몬드 1.5mm,"메달, 케이스, 보증서","소재:금 Au999 / 금 Au 585 / 랩 그로운 다이아몬드크기:메달 17mm /  주물품 8.5 x 11mm / 랩 그로운 다이아몬드 1.5mm무게:메달 3.75g / 주물품 1.14g 이상 / 랩 그로운 다이아몬드 0.014ct구성:목걸이 메달(줄 제외), 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
57,화접도 기념메달,17.65,2585000,Au 999,금메달 직경 30mm + 나비 주물품15x19mm,"메달, 케이스 보증서","소재:순금 Au999 크기:금메달 직경 30mm + 나비 주물품15x19mm무게:17.65g(이상)구성: 메달, 보증서,  케이스 보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
58,경주 천마총 발굴 50주년 지폐형 금메달,0,2640000,Au 999,20g /154x68mm / UNC,"메달, 케이스, 보증서","소재:금(Au999)크기:154x68mm무게:20g구성:메달,케이스,보증서품질보증:한국조폐공사상품문의:1577-4321"
59,경주 천마총 발굴 50주년 지폐형 은메달,0,110000,Ag 999,10g /154x68mm / UNC,"메달, 케이스, 보증서","소재:은(Ag999)크기:154x68mm무게:10g구성:메달,케이스,보증서품질보증:한국조폐공사상품문의:1577-4321"
60,디윰아트 2023 계묘년 토끼의 해 고심도 메달,0,499000,"단동(Cu90, Zn10)",390g 정도 / 80mm,"메달, 케이스, 보증서","소재:단동(Cu90, Zn10)크기:80mm무게:390g 정도구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
61,로열시리즈 4차-일월오봉도 기념 은메달,10,110000,Ag 999,154X68mm,"메달, 케이스, 보증서","소재:Ag 999크기:154X68mm무게:10g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
62,로열시리즈 4차-일월오봉도 기념 금메달,0,2640000,Au 999,154X68mm,"메달, 케이스, 보증서","소재:Au 999크기:154X68mm무게:20g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
63,한반도 공룡 시리즈 1차 코리아노사우루스 보성엔시스 기념 은메달,408,1188000,Ag999,"외부메달 : 70mm, 내부메달 : 30×40mm","메달, 케이스, 보증서","소재:순은 Ag999크기:외부메달 : 70mm, 내부메달 : 30×40mm무게:외부메달 : 370g, 내부메달 : 38g구성:메달, 케이스, 보증서보증서:Smartjugle 위변조 방지기술로 만든 카드형 보증서품질보증:한국조폐공사상품문의:1577-4321"
64,별자리 펜던트 메달_사자자리(양력생일 07.23~08.22),4.65,748000,Au 999 3.75g / Au 585 0.9g,19mm,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스 보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
65,별자리 펜던트 메달_양자리(양력생일 03.21~04.19),4.65,748000,,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
66,디윰아트 2022 임인년 호랑이 해 고심도 메달,0,187000,"동(Cu90, Zn10)",390g정도 / 80mm,"메달, 케이스, 보증서","소재:단동(Cu 90, Zn 10)크기:80mm무게:390g 정도구성:기념메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
67,인류문명과 농장동물 시리즈 1차_생동하는 닭_은메달,80,275000,순은(Ag999)_앤틱피니쉬,31x41mm,"메달, 보증서, 케이스","소재:순은(Ag999)크기:31x41mm무게:80g구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
